entry_time,entry_price,units,exit_time,exit_price,profit
2018-12-24 22:00:00,31.88,1,2018-12-25 15:00:00,25.4,-6.48
2018-12-27 23:00:00,50.04,1,2018-12-28 06:00:00,62.63,12.590000000000003
2018-12-28 22:00:00,51.01,1,2018-12-29 08:00:00,60.41,9.399999999999999
2018-12-29 19:00:00,39.76,1,2018-12-30 07:00:00,30.94,-8.819999999999997
2018-12-31 20:00:00,45.06,1,2019-01-02 05:00:00,-0.01,-45.07
2019-01-04 00:00:00,47.11,1,2019-01-04 16:00:00,54.66,7.549999999999997
2019-01-04 19:00:00,46.58,1,2019-01-05 08:30:00,40.46,-6.119999999999997
2019-01-06 23:00:00,46.03,1,2019-01-07 05:00:00,55.77,9.740000000000002
2019-01-07 17:00:00,47.91,1,2019-01-08 06:00:00,43.87,-4.039999999999999
2019-01-08 23:00:00,20.04,1,2019-01-09 05:00:00,36.98,16.939999999999998
2019-01-10 23:00:00,47.84,1,2019-01-12 16:00:00,44.24,-3.6000000000000014
2019-01-12 19:00:00,38.15,1,2019-01-13 10:00:00,30.81,-7.34
2019-01-13 12:00:00,8.5,1,2019-01-13 17:00:00,24.04,15.54
2019-01-13 19:00:00,-0.02,1,2019-01-14 05:00:00,35.9,35.92
2019-01-15 03:45:00,30.8,1,2019-01-15 05:00:00,47.4,16.599999999999998
2019-01-15 22:00:00,32.04,1,2019-01-16 05:00:00,46.63,14.590000000000003
2019-01-16 22:00:00,30.77,1,2019-01-17 06:00:00,46.04,15.27
2019-01-19 02:00:00,51.15,1,2019-01-19 09:00:00,63.13,11.980000000000004
2019-01-19 22:00:00,49.8,1,2019-01-20 13:00:00,53.2,3.4000000000000057
2019-01-21 22:00:00,54.93,1,2019-01-22 06:00:00,73.91,18.979999999999997
2019-01-22 22:00:00,53.72,1,2019-01-23 05:00:00,63.96,10.240000000000002
2019-01-23 22:30:00,59.0,1,2019-01-24 06:00:00,99.07,40.06999999999999
2019-01-24 22:00:00,63.79,1,2019-01-25 07:00:00,97.0,33.21
2019-01-25 18:00:00,58.51,1,2019-01-26 08:45:00,56.28,-2.229999999999997
2019-01-26 22:00:00,37.75,1,2019-01-27 09:00:00,39.06,1.3100000000000023
2019-01-29 22:00:00,49.34,1,2019-01-30 06:00:00,64.99,15.649999999999991
2019-01-31 00:00:00,45.47,1,2019-01-31 05:00:00,62.41,16.939999999999998
2019-01-31 22:00:00,46.72,1,2019-02-01 10:00:00,56.9,10.18
2019-02-02 00:00:00,47.07,1,2019-02-02 08:00:00,55.79,8.719999999999999
2019-02-02 23:00:00,44.8,1,2019-02-03 09:00:00,49.33,4.530000000000001
2019-02-04 01:00:00,40.48,1,2019-02-04 05:00:00,49.05,8.57
2019-02-04 11:00:00,41.69,1,2019-02-04 16:00:00,49.06,7.3700000000000045
2019-02-04 19:00:00,39.42,1,2019-02-05 05:00:00,50.31,10.89
2019-02-05 23:00:00,42.8,1,2019-02-06 06:00:00,57.59,14.790000000000006
2019-02-07 00:45:00,45.21,1,2019-02-07 06:00:00,53.29,8.079999999999998
2019-02-07 11:00:00,43.24,1,2019-02-07 16:00:00,51.37,8.129999999999995
2019-02-07 21:00:00,38.71,1,2019-02-08 05:00:00,45.85,7.140000000000001
2019-02-08 20:00:00,33.96,1,2019-02-09 16:00:00,26.97,-6.990000000000002
2019-02-10 23:00:00,-0.01,1,2019-02-11 05:00:00,39.91,39.919999999999995
2019-02-12 23:00:00,34.14,1,2019-02-13 06:00:00,52.46,18.32
2019-02-14 00:00:00,39.15,1,2019-02-14 05:00:00,53.17,14.020000000000003
2019-02-15 01:00:00,41.72,1,2019-02-15 05:00:00,52.98,11.259999999999998
