timestamp;value;datetime
1758927600000;83.26;2025-09-26 23:00:00
1758931200000;82.7;2025-09-27 00:00:00
1758934800000;82.51;2025-09-27 01:00:00
1758938400000;85.28;2025-09-27 02:00:00
1758942000000;89.19;2025-09-27 03:00:00
1758945600000;90.57;2025-09-27 04:00:00
1758949200000;105.45;2025-09-27 05:00:00
1758952800000;109.71;2025-09-27 06:00:00
1758956400000;96.92;2025-09-27 07:00:00
1758960000000;87.86;2025-09-27 08:00:00
1758963600000;75.0;2025-09-27 09:00:00
1758967200000;59.77;2025-09-27 10:00:00
1758970800000;36.11;2025-09-27 11:00:00
1758974400000;48.54;2025-09-27 12:00:00
1758978000000;78.22;2025-09-27 13:00:00
1758981600000;93.1;2025-09-27 14:00:00
1758985200000;112.01;2025-09-27 15:00:00
1758988800000;133.35;2025-09-27 16:00:00
1758992400000;148.61;2025-09-27 17:00:00
1758996000000;122.53;2025-09-27 18:00:00
1758999600000;114.4;2025-09-27 19:00:00
1759003200000;107.56;2025-09-27 20:00:00
1759006800000;99.54;2025-09-27 21:00:00
1759010400000;97.56;2025-09-27 22:00:00
1759014000000;95.31;2025-09-27 23:00:00
1759017600000;94.32;2025-09-28 00:00:00
1759021200000;91.47;2025-09-28 01:00:00
1759024800000;97.77;2025-09-28 02:00:00
1759028400000;97.58;2025-09-28 03:00:00
1759032000000;100.91;2025-09-28 04:00:00
1759035600000;105.79;2025-09-28 05:00:00
1759039200000;98.77;2025-09-28 06:00:00
1759042800000;95.04;2025-09-28 07:00:00
1759046400000;82.08;2025-09-28 08:00:00
1759050000000;37.47;2025-09-28 09:00:00
1759053600000;17.11;2025-09-28 10:00:00
1759057200000;8.53;2025-09-28 11:00:00
1759060800000;13.0;2025-09-28 12:00:00
1759064400000;61.33;2025-09-28 13:00:00
1759068000000;86.0;2025-09-28 14:00:00
1759071600000;105.89;2025-09-28 15:00:00
1759075200000;131.02;2025-09-28 16:00:00
1759078800000;137.97;2025-09-28 17:00:00
1759082400000;125.93;2025-09-28 18:00:00
1759086000000;113.51;2025-09-28 19:00:00
1759089600000;102.29;2025-09-28 20:00:00
1759093200000;95.74;2025-09-28 21:00:00
1759096800000;90.95;2025-09-28 22:00:00
1759100400000;88.76;2025-09-28 23:00:00
1759104000000;87.88;2025-09-29 00:00:00
1759107600000;87.94;2025-09-29 01:00:00
1759111200000;88.31;2025-09-29 02:00:00
1759114800000;98.37;2025-09-29 03:00:00
1759118400000;134.98;2025-09-29 04:00:00
1759122000000;222.1;2025-09-29 05:00:00
1759125600000;166.91;2025-09-29 06:00:00
1759129200000;122.06;2025-09-29 07:00:00
1759132800000;90.21;2025-09-29 08:00:00
1759136400000;84.95;2025-09-29 09:00:00
1759140000000;78.71;2025-09-29 10:00:00
1759143600000;77.08;2025-09-29 11:00:00
1759147200000;83.33;2025-09-29 12:00:00
1759150800000;87.4;2025-09-29 13:00:00
1759154400000;99.98;2025-09-29 14:00:00
1759158000000;140.79;2025-09-29 15:00:00
1759161600000;302.65;2025-09-29 16:00:00
1759165200000;406.78;2025-09-29 17:00:00
1759168800000;167.6;2025-09-29 18:00:00
1759172400000;123.85;2025-09-29 19:00:00
1759176000000;108.3;2025-09-29 20:00:00
1759179600000;93.68;2025-09-29 21:00:00
1759183200000;101.1;2025-09-29 22:00:00
1759186800000;98.43;2025-09-29 23:00:00
1759190400000;98.93;2025-09-30 00:00:00
1759194000000;94.99;2025-09-30 01:00:00
1759197600000;99.12;2025-09-30 02:00:00
1759201200000;112.08;2025-09-30 03:00:00
1759204800000;141.86;2025-09-30 04:00:00
1759208400000;244.0;2025-09-30 05:00:00
1759212000000;209.23;2025-09-30 06:00:00
1759215600000;141.85;2025-09-30 07:00:00
1759219200000;115.2;2025-09-30 08:00:00
1759222800000;96.72;2025-09-30 09:00:00
1759226400000;87.91;2025-09-30 10:00:00
1759230000000;86.04;2025-09-30 11:00:00
1759233600000;87.26;2025-09-30 12:00:00
1759237200000;96.8;2025-09-30 13:00:00
1759240800000;104.03;2025-09-30 14:00:00
1759244400000;142.64;2025-09-30 15:00:00
1759248000000;294.54;2025-09-30 16:00:00
1759251600000;357.77;2025-09-30 17:00:00
1759255200000;147.28;2025-09-30 18:00:00
1759258800000;116.04;2025-09-30 19:00:00
1759262400000;101.63;2025-09-30 20:00:00
1759266000000;92.54;2025-09-30 21:00:00
1759269600000;91.57;2025-09-30 22:00:00
1759273200000;86.29;2025-09-30 23:00:00
1759276800000;84.87;2025-10-01 00:00:00
1759280400000;88.33;2025-10-01 01:00:00
1759284000000;87.66;2025-10-01 02:00:00
1759287600000;95.33;2025-10-01 03:00:00
1759291200000;124.96;2025-10-01 04:00:00
1759294800000;173.3;2025-10-01 05:00:00
1759298400000;139.09;2025-10-01 06:00:00
1759302000000;105.25;2025-10-01 07:00:00
1759305600000;86.04;2025-10-01 08:00:00
1759309200000;70.57;2025-10-01 09:00:00
1759312800000;66.03;2025-10-01 10:00:00
1759316400000;68.4;2025-10-01 11:00:00
1759320000000;72.63;2025-10-01 12:00:00
1759323600000;81.72;2025-10-01 13:00:00
1759327200000;92.87;2025-10-01 14:00:00
1759330800000;135.4;2025-10-01 15:00:00
1759334400000;253.24;2025-10-01 16:00:00
1759338000000;339.99;2025-10-01 17:00:00
1759341600000;152.02;2025-10-01 18:00:00
1759345200000;113.04;2025-10-01 19:00:00
1759348800000;98.51;2025-10-01 20:00:00
1759352400000;90.65;2025-10-01 21:00:00
1759356000000;90.8;2025-10-01 22:00:00
1759359600000;88.0;2025-10-01 23:00:00
1759363200000;86.52;2025-10-02 00:00:00
1759366800000;88.56;2025-10-02 01:00:00
1759370400000;90.81;2025-10-02 02:00:00
1759374000000;95.97;2025-10-02 03:00:00
1759377600000;128.72;2025-10-02 04:00:00
1759381200000;181.09;2025-10-02 05:00:00
1759384800000;136.68;2025-10-02 06:00:00
1759388400000;100.51;2025-10-02 07:00:00
1759392000000;91.48;2025-10-02 08:00:00
1759395600000;78.29;2025-10-02 09:00:00
1759399200000;65.77;2025-10-02 10:00:00
1759402800000;60.5;2025-10-02 11:00:00
1759406400000;71.29;2025-10-02 12:00:00
1759410000000;80.66;2025-10-02 13:00:00
1759413600000;91.45;2025-10-02 14:00:00
1759417200000;113.32;2025-10-02 15:00:00
1759420800000;167.93;2025-10-02 16:00:00
1759424400000;176.84;2025-10-02 17:00:00
1759428000000;109.92;2025-10-02 18:00:00
1759431600000;90.85;2025-10-02 19:00:00
1759435200000;96.66;2025-10-02 20:00:00
1759438800000;82.09;2025-10-02 21:00:00
1759442400000;85.93;2025-10-02 22:00:00
1759446000000;77.14;2025-10-02 23:00:00
1759449600000;71.75;2025-10-03 00:00:00
1759453200000;73.91;2025-10-03 01:00:00
1759456800000;76.29;2025-10-03 02:00:00
1759460400000;77.98;2025-10-03 03:00:00
1759464000000;93.78;2025-10-03 04:00:00
1759467600000;100.42;2025-10-03 05:00:00
1759471200000;103.68;2025-10-03 06:00:00
